SKU_ID,ProductID,CPU,GPU,VRAM,RAM,Storage,StorageCapacity,ScreenSize,Weight,Price,Stock
ZAZ7HWOJY0,1,MediaTek Octa-core,Integrated Graphics,0,4,64 GB SSD Storage + No HDD,64,11.6,1.5,22990,32
4AYGNYRPT9,2,AMD Hexa-Core Ryzen 5,Radeon,0,8,512 GB SSD Storage + No HDD,512,15.6,1.5,36289,25
L6LEO62GKG,3,Intel Core i5 (12th Gen),"GeForce RTX 3050 GPU, 4 GB",4,16,512 GB SSD Storage + No HDD,512,15.6,1.5,78500,4
5JGYYMBAMF,4,Intel Core i5 (12th Gen),Iris Xe,0,8,512 GB SSD Storage + No HDD,512,15.6,1.5,55490,40
4IQC6AQDE9,5,Intel Core i3 (11th Gen),UHD,0,8,512 GB SSD Storage + No HDD,512,15.6,1.5,21990,1
VNVXL6U4VN,6,Intel Core i5 (11th Gen) Processor,Iris Xe,0,16,512 GB SSD Storage + No HDD,512,14.0,1.5,34990,4
3YLNIPCFP6,7,AMD Hexa-Core Ryzen 5,Radeon,0,8,512 GB SSD Storage + No HDD,512,14.0,1.5,49599,35
KBITBX6PA8,6,Intel Core i5 (11th Gen),Iris Xe,0,8,512 GB SSD Storage + No HDD,512,14.0,1.5,39990,21
L3JYUE1FVY,8,Intel Core i3 (8th Gen),UHD 620,0,4,NO SSD + 1024 GB HDD Storage,1024,15.6,1.5,33111,30
EIG30DPLF6,9,Intel Core i5 (11th Gen),"GeForce RTX 2050 GPU, 4 GB",4,8,512 GB SSD Storage + No HDD,512,15.6,1.5,48990,33
8UJFKW1FOO,10,AMD Octa-Core Ryzen 7,"GeForce RTX 4050 GPU, 6 GB",6,16,512 GB SSD Storage + No HDD,512,15.6,1.5,92990,30
TDD3MJ73V5,11,AMD Dual-Core Ryzen 3,Radeon,0,8,512 GB SSD Storage + No HDD,512,15.6,1.5,31490,31
NLV7ATO5MD,12,Intel Core i7 (13th Gen) Processor,"GeForce RTX 4050 GPU, 6 GB",6,16,1024 GB SSD Storage + No HDD,1024,16.0,1.5,104990,18
KNYO0SED7T,13,Intel Core i3 (11th Gen),UHD,0,8,512 GB SSD Storage + No HDD,512,14.0,1.5,44999,30
DQ46KC420B,12,Intel Core i7 (13th Gen) Processor,"GeForce RTX 4050 GPU, 6 GB",6,16,1024 GB SSD Storage + No HDD,1024,16.0,1.5,112980,15
TW2ZDFIYQV,14,Intel Core i5 (12th Gen),Iris Xe,0,8,512 GB SSD Storage + No HDD,512,14.0,1.5,52800,37
CHDPXFQ6X7,15,Intel Core i3 (11th Gen),UHD,0,8,512 GB SSD Storage + No HDD,512,14.0,1.5,36990,50
PA3JUA30MD,16,Intel Core i5 (11th Gen),Iris Xe,0,16,512 GB SSD Storage + No HDD,512,15.6,1.5,47999,21
7EC24NIOZE,17,Intel Core i5 (13th Gen) Processor,"GeForce RTX 4050 GPU, 6 GB",6,16,512 GB SSD Storage + No HDD,512,15.6,1.5,77860,6
CSVLOXK149,18,Intel Core i5 (11th Gen),"GeForce RTX 2050 GPU, 4 GB",4,8,512 GB SSD Storage + No HDD,512,15.6,1.5,49900,34
4SFBP4ZFD6,19,Intel Core i5 (12th Gen),Iris Xe,0,16,1024 GB SSD Storage + No HDD,1024,14.0,1.5,69999,10
4O6R3ZE7RW,20,Intel Core i5 (12th Gen),Iris Xe,0,8,512 GB SSD Storage + No HDD,512,15.6,1.5,36990,9
LUEGVTENDG,21,Intel Core i3 (11th Gen),UHD,0,8,512 GB SSD Storage + No HDD,512,15.6,1.5,33900,5
F4ULG0HPWQ,22,AMD Octa-Core Ryzen 7,Radeon,0,16,512 GB SSD Storage + No HDD,512,14.0,1.5,60990,11
V8USMRE6UB,23,Intel Core i5 (11th Gen),Iris Xe,0,16,512 GB SSD Storage + No HDD,512,15.6,1.5,40990,28
9XYTJ9N0W9,24,Intel Core i3 (11th Gen),UHD,0,8,256 GB SSD Storage + No HDD,256,15.6,1.5,31490,2
6F52KC43HE,25,Intel Core Ultra 5,Arc,0,16,1024 GB SSD Storage + No HDD,1024,14.0,1.5,80990,31
O20TAFHOZ5,18,Intel Core i5 (11th Gen),"GeForce GTX 1650 GPU, 4 GB",4,8,512 GB SSD Storage + No HDD,512,15.6,1.5,50990,17
KDNJSQA3NB,26,Intel Core i5 (11th Gen),"GeForce RTX 2050 GPU, 4 GB",4,8,512 GB SSD Storage + No HDD,512,17.3,1.5,57990,37
Q8GYO9NVV1,27,Intel Celeron Dual-Core,UHD,0,8,256 GB SSD Storage + No HDD,256,14.0,1.5,25449,22
8M4FQA8YX4,28,AMD Quad-Core Ryzen 3,Radeon,0,8,512 GB SSD Storage + No HDD,512,15.6,1.5,36990,26
RAPSOV9O9N,29,Intel Celeron Dual-Core,UHD,0,4,64 GB SSD Storage + No HDD,64,11.6,1.5,18999,45
4X3QQHASD7,30,AMD Hexa-Core Ryzen 5,"GeForce GTX 1650 GPU, 4 GB",4,8,512 GB SSD Storage + No HDD,512,15.6,1.5,48990,24
EVVHHVYRRC,31,Intel Core i5 (11th Gen),Iris Xe,0,16,256 GB SSD Storage  +  1024 GB HDD Storage,1280,15.6,1.5,47990,17
4FH3QT60UF,32,AMD Dual-Core Ryzen 3,Radeon,0,8,256 GB SSD Storage + No HDD,256,14.0,1.5,28990,24
0OG0F4H6JZ,33,AMD Dual-Core Ryzen 3,Radeon,0,8,512 GB SSD Storage + No HDD,512,14.0,1.5,26990,25
04KR8DFUFF,34,Intel Core i3 (11th Gen),UHD,0,8,512 GB SSD Storage + No HDD,512,15.6,1.5,39250,35
