Order_ID,Customer_ID,Address_ID,OrderDate,Status
1,199,244,2025-12-02 15:45:57.847411,Delivered
2,883,1059,2025-12-02 15:43:59.609569,Shipped
3,783,942,2025-12-02 15:45:50.843010,Delivered
4,227,280,2025-12-02 15:47:04.620118,Delivered
5,955,1144,2025-12-02 15:48:21.138846,Delivered
6,268,326,2025-12-02 15:46:39.264315,Processing
7,25,30,2025-12-02 15:48:05.918406,Processing
8,59,67,2025-12-02 15:46:54.073810,Cancelled
9,38,46,2025-12-02 15:48:37.135112,Delivered
10,548,657,2025-12-02 15:43:29.148254,Delivered
11,718,862,2025-12-02 15:43:42.089317,Delivered
12,385,467,2025-12-02 15:43:30.363375,Delivered
13,22,26,2025-12-02 15:44:08.017987,Shipped
14,476,574,2025-12-02 15:43:17.752279,Delivered
15,812,974,2025-12-02 15:43:46.936110,Delivered
16,591,711,2025-12-02 15:43:51.266138,Shipped
17,122,148,2025-12-02 15:46:29.157851,Processing
18,64,73,2025-12-02 15:48:03.899875,Shipped
19,636,764,2025-12-02 15:47:57.631966,Shipped
20,400,485,2025-12-02 15:48:42.182667,Delivered
21,669,803,2025-12-02 15:47:22.770983,Delivered
22,375,456,2025-12-02 15:47:11.498128,Delivered
23,892,1069,2025-12-02 15:48:24.377933,Delivered
24,204,250,2025-12-02 15:46:12.890064,Delivered
25,201,246,2025-12-02 15:45:23.836438,Delivered
26,227,280,2025-12-02 15:48:16.255524,Processing
27,852,1022,2025-12-02 15:48:18.287255,Shipped
28,806,967,2025-12-02 15:46:56.143872,Delivered
29,829,996,2025-12-02 15:45:33.686577,Delivered
30,836,1005,2025-12-02 15:43:48.757888,Delivered
31,64,74,2025-12-02 15:45:30.081837,Cancelled
32,205,251,2025-12-02 15:46:41.038712,Delivered
33,774,929,2025-12-02 15:43:41.116966,Delivered
34,840,1010,2025-12-02 15:44:40.846896,Shipped
35,348,423,2025-12-02 15:46:02.792122,Delivered
36,743,890,2025-12-02 15:44:00.912204,Delivered
37,532,639,2025-12-02 15:45:23.866530,Delivered
38,184,224,2025-12-02 15:44:15.675102,Shipped
39,529,635,2025-12-02 15:45:24.838181,Delivered
40,887,1064,2025-12-02 15:45:26.846428,Shipped
41,371,451,2025-12-02 15:45:38.559694,Delivered
42,80,96,2025-12-02 15:47:53.222684,Delivered
